Wednesday, 12 May 2021 09:18:57
10600nm 1550nm 532nm
PERCENTAGE
BASELINE[LWIR/SWIR/VIS]: 1.04116906881332 0.945331764221191 0.896040351390839
BASELINE_REFERENCE[LWIR/SWIR/VIS]: 1 1 1
SECONDS LWIR_Meas SWIR_Meas VIS_Meas LWIR_Pick SWIR_Pick VIS_Pick LWIR_Disp SWIR_Disp VIS_Disp
== DATA STARTS HERE ==
33537 1.04166700839996 0.947424471378326 0.89823762178421 1 1 1 100.047825046052 100.221372774759 100.245220027196
33538 1.0410382270813 0.94777979850769 0.898117315769196 1 1 1 99.9874331906369 100.258960333203 100.231793621251
33539 1.04114675521851 0.947477459907532 0.891198825836182 1 1 1 99.9978568711378 100.226978058662 99.4596754993074
33540 1.04104194641113 0.948094701766968 0.884742879867554 1 1 1 99.9877904169458 100.292271734681 98.7391782629266
33541 1.04133443832397 0.948404431343079 0.89222491979599 1 1 1 100.015883060264 100.325035848596 99.574189757311
33542 1.04081637859344 0.946931636333466 0.891120529174805 1 1 1 99.9661255572756 100.169239220856 99.4509374261553
33543 1.04162192344666 0.947064220905304 0.894150626659393 1 1 1 100.043494822013 100.183264410409 99.7891027197032
33544 1.04100742340088 0.946364140510559 0.89616140127182 1 1 1 99.9844746240273 100.10920782824 100.013509422962
33545 1.04165050983429 0.945514976978302 0.892266690731049 1 1 1 100.046240426784 100.019380789268 99.5788514820864
33546 1.04099936485291 0.943438982963562 0.895122957229614 1 1 1 99.9837006336913 99.7997759803207 99.8976168696197
33547 1.04163131713867 0.943739783763885 0.892503845691681 1 1 1 100.044397047434 99.8315955818307 99.605318477715
33548 1.04141688346863 0.945032596588135 0.896914911270142 1 1 1 100.023801576778 99.9683531597711 100.097602733844
33549 1.0415221452713 0.945657622814178 0.903106153011322 1 1 1 100.033911539303 100.034470289196 100.788558418102
33550 1.04141159057617 0.947829759120941 0.899657249450684 1 1 1 100.023293216262 100.264245315168 100.403653479916
33551 1.04126853942871 0.949829876422882 0.893456101417542 1 1 1 100.009553742842 100.475823660215 99.7115922325054
